TEAM,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3:00 PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,#ERROR!
Los Angeles Lakers,3,3,0,1,48,107.3,41.3,94,44,13.7,36.7,37.3,11,18.3,60,15.3,36,51.3,27.7,18.3,9.7,5.3,4.7,19,20,6.7
New Orleans Pelicans,3,3,0,1,48,117.3,46,93,49.5,10.7,27.3,39,14.7,19.7,74.6,13.7,40.7,54.3,30,15.3,4.7,7,6.3,18.7,21,15
Portland Trail Blazers,3,3,0,1,48,111.3,42.3,91.3,46.4,13.7,35,39,13,15.3,84.8,13.3,39.7,53,21,13.3,5,4.3,5.3,17,18,10.7
Utah Jazz,3,3,0,1,48,112,39.3,82.7,47.6,11.7,34.3,34,21.7,28.7,75.6,9.7,33.3,43,26.3,14.7,7.7,6.7,5.3,26,25,10.3
Dallas Mavericks,3,2,1,0.667,48,105.3,36.3,76.3,47.6,10.7,28.7,37.2,22,28.7,76.7,7.7,37.7,45.3,21,20.3,7.7,5.3,5,24,25.7,1.7
Detroit Pistons,3,2,1,0.667,48,110,40.3,97,41.6,14.3,43,33.3,15,19.3,77.6,15,33.3,48.3,24,13.7,9.3,3.7,6,21.3,22,4
Golden State Warriors,3,2,1,0.667,49.7,114,43,89.3,48.1,10.3,24.7,41.9,17.7,21.7,81.5,10,33.3,43.3,27.3,13.3,8,7,3,23,21,6
Houston Rockets,3,2,1,0.667,48,104.3,35,78.3,44.7,14,41.7,33.6,20.3,29,70.1,9.7,30,39.7,17.3,13.3,7.7,5.3,4.3,22,20.7,5
LA Clippers,3,2,1,0.667,51.3,118,43.3,93,46.6,9,25.7,35.1,22.3,27,82.7,7.7,40.3,48,22.7,14,6.3,7,8,21.3,23.7,-1.3
Memphis Grizzlies,3,2,1,0.667,49.7,96.3,36,84,42.9,7.7,25,30.7,16.7,21,79.4,10.3,30.7,41,18,15,7.7,6.3,5,22.7,22.3,0
Milwaukee Bucks,3,2,1,0.667,49.7,127,49,96.7,50.7,14,38.3,36.5,15,21,71.4,11,35.3,46.3,30.3,14,10.7,7.3,5.7,22,19,9.3
Oklahoma City Thunder,3,2,1,0.667,48,104,39,90,43.3,10.3,32.7,31.6,15.7,20.7,75.8,17,32,49,19.3,15,10.3,4,4.3,16.7,23.3,6.7
Orlando Magic,3,2,1,0.667,48,113.7,43.7,91,48,15,34.3,43.7,11.3,13.7,82.9,9.3,33,42.3,28.3,13.3,7.7,7,8.3,22.3,18.7,9
Philadelphia 76ers,3,2,1,0.667,51.3,121,42.7,87.3,48.9,11.7,34.7,33.7,24,32,75,10.3,39.3,49.7,28,16.7,6,7,4.7,25.7,27,1.7
Sacramento Kings,3,2,1,0.667,48,103.7,39.3,91,43.2,9.7,27,35.8,15.3,20.3,75.4,10.7,37.3,48,21,15,8.7,4.7,2.7,23,18.3,0.3
Toronto Raptors,3,2,1,0.667,48,117.3,40.7,88.3,46,12.7,38.7,32.8,23.3,28.3,82.4,12.7,34.7,47.3,21,16,9,4.3,5,20,24,3
Washington Wizards,3,2,1,0.667,48,113.7,40.7,81.3,50,10.7,27.3,39,21.7,30,72.2,10,31.3,41.3,20.7,15.7,8,5,5.7,20,25.7,1.7
Boston Celtics,3,1,2,0.333,49.7,108.3,38,92.7,41,15,40.7,36.9,17.3,21,82.5,11,31,42,23.7,12.3,9.3,4.7,4,18,19.3,-2.3
Brooklyn Nets,3,1,2,0.333,48,108.3,37.3,88.7,42.1,12.3,35.7,34.6,21.3,31,68.8,14.3,27.3,41.7,23,12,8,4.3,6,25,23,-7
Charlotte Hornets,3,1,2,0.333,49.7,111.3,39.7,96.7,41,11.7,36.3,32.1,20.3,25.7,79.2,10.7,33.3,44,23.7,9.3,9.3,5.7,7.3,23.3,23.7,-5
Chicago Bulls,3,1,2,0.333,48,98.3,37.3,89,41.9,8,27.3,29.3,15.7,20,78.3,6.7,36.3,43,18,13.3,9,5,7.7,20.3,19,-4.3
Cleveland Cavaliers,3,1,2,0.333,48,99,39,88.3,44.2,10,25.3,39.5,11,14.3,76.7,13.7,41,54.7,18.3,17.3,4.3,4.3,6,21,17.7,4.7
Indiana Pacers,3,1,2,0.333,48,102.3,38.7,83.7,46.2,8.7,26.7,32.5,16.3,24,68.1,6.3,32,38.3,21,14.3,9.7,5.7,6.3,23,22.3,-3.3
Minnesota Timberwolves,3,1,2,0.333,48,113.3,40.7,88.3,46,12.3,29.3,42,19.7,23.7,83.1,11.7,36.3,48,22.7,18.7,8,4,4,19,24,-2.7
New York Knicks,3,1,2,0.333,48,104.3,36.3,87,41.8,7.3,26.7,27.5,24.3,33,73.7,13.3,36.3,49.7,15.3,17,8,9.3,7.3,25.7,23.7,-12.3
